year,month,gear,SPECIES_CODE,SPECIES_COMMON_NAME,landed_kg,hooksTraps,minutes,FENoGear,covid
2011,1,MIDWATER TRAWL,44,SPINY DOGFISH,513.88,0,1986,0,0
2011,1,HOOK AND LINE,56,BIG SKATE,437.93,6840,400769,14,0
2011,1,BOTTOM TRAWL,66,SPOTTED RATFISH,2611.05,0,2381,0,0
2011,1,BOTTOM TRAWL,124,CHINOOK SALMON,11.56,0,0,0,0
2011,1,MIDWATER TRAWL,228,WALLEYE POLLOCK,1099242.22,0,9409,0,0
2011,1,HOOK AND LINE,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,17173.27,101490,99100,29,0
2011,1,TRAP,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,1786.4,6921,486402,56,0
2011,1,BOTTOM TRAWL,401,REDBANDED ROCKFISH,7409.22,0,42228,0,0
2011,1,BOTTOM TRAWL,403,SHORTRAKER ROCKFISH,8158.6,0,27923,0,0
2011,1,BOTTOM TRAWL,405,SILVERGRAY ROCKFISH,149801.93,0,34982,0,0
2011,1,HOOK AND LINE,409,DUSKY ROCKFISH,2.67,360,126,0,0
2011,1,BOTTOM TRAWL,414,GREENSTRIPED ROCKFISH,1822.44,0,12551,0,0
2011,1,HOOK AND LINE,414,GREENSTRIPED ROCKFISH,10.21,4380,1986,6,0
2011,1,BOTTOM TRAWL,417,WIDOW ROCKFISH,10002.34,0,15272,0,0
2011,1,BOTTOM TRAWL,420,CHILIPEPPER,472.53,0,520,0,0
2011,1,HOOK AND LINE,421,ROSETHORN ROCKFISH,23.57,13820,396557,5,0
2011,1,UNSPECIFIED,421,ROSETHORN ROCKFISH,16,0,0,2,0
2011,1,BOTTOM TRAWL,426,BLACK ROCKFISH,47.56,0,463,0,0
2011,1,HOOK AND LINE,426,BLACK ROCKFISH,586.59,8448,16122,43,0
2011,1,HOOK AND LINE,429,BLUE ROCKFISH,0.44,1000,70,0,0
2011,1,BOTTOM TRAWL,435,BOCACCIO,2761.35,0,6455,0,0
2011,1,HOOK AND LINE,437,CANARY ROCKFISH,994.54,88238,33879,24,0
2011,1,MIDWATER TRAWL,440,YELLOWMOUTH ROCKFISH,193.49,0,529,0,0
2011,1,BOTTOM TRAWL,446,HARLEQUIN ROCKFISH,435.63,0,303,0,0
2011,1,MIDWATER TRAWL,450,SHARPCHIN ROCKFISH,216.94,0,424,0,0
2011,1,HOOK AND LINE,451,SHORTSPINE THORNYHEAD,2541,143965,150569,21,0
2011,1,TRAP,451,SHORTSPINE THORNYHEAD,658.47,10396,553474,57,0
2011,1,BOTTOM TRAWL,455,SABLEFISH,13415.25,0,32003,0,0
2011,1,HOOK AND LINE,467,LINGCOD,192.59,21902,7146,2,0
